hjd,camera,filter,mag,mag err,flux (mJy),flux err
2456828.96813,bc,V,11.905,0.02,66.345,1.221
2457984.89011,ba,V,11.981,0.02,68.336,1.257
2457468.09097,bc,V,12.068,0.02,57.113,1.051
2457321.73644,bc,V,11.95,0.02,63.656,1.171
2457231.93247,bc,V,12.056,0.02,57.729,1.062
2457173.90129,bc,V,12.03,0.02,59.154,1.088
2456849.93389,bc,V,12.059,0.02,57.57,1.059
2457443.14645,bc,V,12.007,0.02,60.395,1.111
2458010.86649,ba,V,12.013,0.02,66.377,1.221
2457512.05463,ba,V,12.072,0.02,62.855,1.157
2457180.0696,ba,V,11.984,0.02,68.174,1.254
2456814.96928,bc,V,12.002,0.02,60.669,1.116
2456788.00643,ba,V,11.956,0.02,69.96,1.287
2457559.9539,ba,V,12.052,0.02,64.007,1.178
2456811.98148,ba,V,11.981,0.02,68.345,1.258
2456735.07135,bc,V,12.034,0.02,58.941,1.085
2457823.11904,bc,V,11.926,0.02,65.112,1.198
2457630.90222,bc,V,12.066,0.02,57.222,1.053
2457500.03938,bc,V,12.044,0.02,58.4,1.075
2457193.989,ba,V,12.027,0.02,65.529,1.206
2457126.08257,ba,V,11.975,0.02,68.713,1.264
2456967.72156,bc,V,12.006,0.02,60.485,1.113
2456919.81915,ba,V,12.037,0.02,64.938,1.195
2458415.69908,bc,V,12.04,0.02,58.625,1.079
2458326.89178,bc,V,12.078,0.02,56.566,1.041
2457852.04311,bc,V,11.985,0.02,61.656,1.134
2457215.90739,bc,V,12.037,0.02,58.75,1.081
2456919.81603,bc,V,12.044,0.02,58.387,1.074
2456913.82596,bc,V,11.947,0.02,63.863,1.175
2456848.9356,bc,V,12.068,0.02,57.116,1.051
2458306.06416,ba,V,12.015,0.02,66.263,1.219
2458013.85682,ba,V,12.048,0.02,64.241,1.182
2457939.94393,ba,V,12.084,0.02,62.181,1.144
2457801.16822,bc,V,11.976,0.02,62.188,1.144
2457652.83737,ba,V,12.054,0.02,63.88,1.175
2457559.00361,bc,V,12.02,0.02,59.718,1.099
2457532.93836,bc,V,12.0,0.02,60.824,1.119
2457478.11611,bc,V,11.965,0.02,62.811,1.156
2457149.01937,ba,V,11.993,0.02,67.588,1.244
2456818.96443,ba,V,12.039,0.02,64.802,1.192
