hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457840.10844,bc,V,12.439,0.02,40.598,0.747
2457499.02025,ba,V,12.423,0.02,45.241,0.832
2457483.07577,ba,V,12.395,0.02,46.415,0.854
2457277.8554,ba,V,12.437,0.02,44.678,0.822
2457136.03601,ba,V,12.437,0.02,44.655,0.822
2456932.76667,ba,V,12.45,0.02,44.12,0.812
2458343.9517,bc,V,12.432,0.02,40.856,0.752
2457251.94246,bc,V,12.448,0.02,40.256,0.741
2457978.95447,bc,V,12.411,0.02,41.63,0.766
2457686.7403,bc,V,12.456,0.02,39.941,0.735
2457610.91169,bc,V,12.501,0.02,38.324,0.705
2457196.88487,bc,V,12.422,0.02,41.208,0.758
2457149.06837,bc,V,12.428,0.02,41.0,0.754
2456931.781,bc,V,12.456,0.02,39.938,0.735
2456864.90493,bc,V,12.491,0.02,38.681,0.712
2456835.04103,bc,V,12.442,0.02,40.469,0.745
2458298.96646,bc,V,12.446,0.02,40.308,0.742
2457974.7817,bc,V,12.44,0.02,40.537,0.746
2457907.98377,bc,V,12.454,0.02,40.034,0.737
2457591.97572,bc,V,12.492,0.02,38.643,0.711
2458370.82463,ba,V,12.425,0.02,45.146,0.831
2458277.92342,ba,V,12.484,0.02,42.774,0.787
2457578.91396,bc,V,12.442,0.02,40.472,0.745
2457552.99078,ba,V,12.515,0.02,41.549,0.764
2457164.06354,bc,V,12.431,0.02,40.882,0.752
2456973.69013,bc,V,12.457,0.02,39.929,0.735
2456910.84505,ba,V,12.435,0.02,44.753,0.823
2458000.8899,bc,V,12.451,0.02,40.13,0.738
2457880.96182,bc,V,12.407,0.02,41.808,0.769
2457559.9539,ba,V,12.484,0.02,42.783,0.787
2457966.80436,bc,V,12.479,0.02,39.103,0.72
2457242.96864,ba,V,12.438,0.02,44.6,0.821
2457149.01937,ba,V,12.446,0.02,44.284,0.815
2457107.10381,ba,V,12.432,0.02,44.852,0.825
2457069.16781,bc,V,12.467,0.02,39.548,0.728
2456828.97911,ba,V,12.487,0.02,42.658,0.785
2458285.95341,ba,V,12.415,0.02,45.566,0.838
2457870.06391,ba,V,12.474,0.02,43.176,0.794
