hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457802.16763,bc,V,12.446,0.02,40.304,0.742
2457621.86,bc,V,12.435,0.02,40.74,0.75
2457483.06475,bc,V,12.39,0.02,42.455,0.781
2457314.73312,bc,V,12.484,0.02,38.941,0.717
2456857.03417,ba,V,12.397,0.02,46.319,0.852
2458273.08909,bc,V,12.459,0.02,39.833,0.733
2457925.96246,bc,V,12.417,0.02,41.423,0.762
2457853.0511,ba,V,12.438,0.02,44.607,0.821
2457660.80678,ba,V,12.503,0.02,42.034,0.773
2457092.12296,bc,V,12.501,0.02,38.325,0.705
2458369.87223,bc,V,12.419,0.02,41.318,0.76
2458017.84989,ba,V,12.433,0.02,44.805,0.824
2457504.00642,ba,V,12.466,0.02,43.499,0.8
2457298.81219,bc,V,12.47,0.02,39.421,0.725
2457106.08395,bc,V,12.434,0.02,40.752,0.75
2456913.82596,bc,V,12.434,0.02,40.751,0.75
2456904.83313,bc,V,12.433,0.02,40.8,0.751
2456890.86346,ba,V,12.406,0.02,45.97,0.846
2458274.88102,bc,V,12.493,0.02,38.629,0.711
2457984.89011,ba,V,12.399,0.02,46.254,0.851
2457587.00774,bc,V,12.47,0.02,39.427,0.725
2456891.86084,bc,V,12.397,0.02,42.198,0.776
2457984.84393,bc,V,12.416,0.02,41.45,0.763
2457264.89079,bc,V,12.501,0.02,38.345,0.706
2457215.90739,bc,V,12.413,0.02,41.555,0.765
2457083.14343,ba,V,12.488,0.02,42.623,0.784
2456815.96932,ba,V,12.427,0.02,45.07,0.829
2458423.71927,ba,V,12.45,0.02,44.114,0.812
2458379.79903,ba,V,12.425,0.02,45.136,0.83
2458327.86857,bc,V,12.422,0.02,41.217,0.758
2457515.01073,bc,V,12.423,0.02,41.19,0.758
2457463.10493,bc,V,12.41,0.02,41.668,0.767
2457173.9392,ba,V,12.444,0.02,44.367,0.816
2458257.02815,ba,V,12.412,0.02,45.69,0.841
2457835.09193,bc,V,12.468,0.02,39.498,0.727
2457803.16076,bc,V,12.437,0.02,40.649,0.748
2457583.02325,bc,V,12.467,0.02,39.537,0.727
2457506.01518,bc,V,12.496,0.02,38.488,0.708
2457144.97994,bc,V,12.446,0.02,40.319,0.742
2457114.08895,bc,V,12.446,0.02,40.323,0.742
2456868.89384,bc,V,12.502,0.02,38.297,0.705
2456848.9356,bc,V,12.462,0.02,39.74,0.731
2457668.79184,bc,V,12.484,0.02,38.932,0.716
2457177.91494,ba,V,12.411,0.02,45.729,0.841
2456824.97041,bc,V,12.501,0.02,38.338,0.705
2457860.09855,ba,V,12.433,0.02,44.833,0.825
2457840.10458,ba,V,12.397,0.02,46.347,0.853
2457559.00361,bc,V,12.489,0.02,38.767,0.713
2457221.92592,ba,V,12.407,0.02,45.907,0.845
2456971.69345,bc,V,12.449,0.02,40.223,0.74
2458262.08144,bc,V,12.422,0.02,41.237,0.759
2457686.73671,ba,V,12.443,0.02,44.419,0.817
2457137.00271,bc,V,12.423,0.02,41.197,0.758
2457125.1144,bc,V,12.438,0.02,40.618,0.747
2456923.80717,bc,V,12.402,0.02,41.975,0.772
2458361.91077,bc,V,12.43,0.02,40.932,0.753
2457310.76865,bc,V,12.496,0.02,38.52,0.709
2457242.96313,bc,V,12.456,0.02,39.954,0.735
2457107.08135,bc,V,12.433,0.02,40.804,0.751
2457103.09937,bc,V,12.419,0.02,41.351,0.761
2456888.85403,ba,V,12.403,0.02,46.062,0.848
2456855.03075,bc,V,12.388,0.02,42.549,0.783
2458254.94993,bc,V,12.43,0.02,40.92,0.753
2457570.89796,ba,V,12.461,0.02,43.67,0.804
2457333.70533,ba,V,12.502,0.02,42.071,0.774
2458294.01444,bc,V,12.428,0.02,40.981,0.754
2457138.04476,ba,V,12.426,0.02,45.107,0.83
2456863.91195,ba,V,12.471,0.02,43.301,0.797
2456829.94985,ba,V,12.491,0.02,42.509,0.782
2457928.89333,ba,V,12.448,0.02,44.218,0.814
2457657.81851,bc,V,12.478,0.02,39.163,0.721
2457630.90222,bc,V,12.488,0.02,38.806,0.714
2457597.86605,bc,V,12.466,0.02,39.574,0.728
2457473.0922,bc,V,12.481,0.02,39.027,0.718
2456818.96769,bc,V,12.436,0.02,40.708,0.749
2457991.80721,ba,V,12.452,0.02,44.03,0.81
2457573.93275,bc,V,12.464,0.02,39.668,0.73
2457235.9867,bc,V,12.403,0.02,41.95,0.772
2457197.98718,bc,V,12.425,0.02,41.112,0.756
2457133.06611,ba,V,12.456,0.02,43.89,0.808
2456863.90662,bc,V,12.479,0.02,39.114,0.72
2456849.93389,bc,V,12.439,0.02,40.584,0.747
2458309.02246,ba,V,12.419,0.02,45.409,0.836
2457898.02524,ba,V,12.427,0.02,45.073,0.829
2457880.09421,bc,V,12.41,0.02,41.677,0.767
2457879.06367,bc,V,12.42,0.02,41.297,0.76
2457155.96477,bc,V,12.417,0.02,41.409,0.762
2458335.86354,bc,V,12.405,0.02,41.884,0.771
2458010.86649,ba,V,12.462,0.02,43.633,0.803
2457696.70208,bc,V,12.439,0.02,40.572,0.747
2457671.7562,bc,V,12.473,0.02,39.342,0.724
2457245.94912,ba,V,12.47,0.02,43.319,0.797
2456827.96057,bc,V,12.495,0.02,38.531,0.709
2456814.96928,bc,V,12.441,0.02,40.495,0.745
2458315.95315,bc,V,12.434,0.02,40.767,0.75
2457847.06462,ba,V,12.402,0.02,46.102,0.848
2457512.05463,ba,V,12.461,0.02,43.663,0.803
2457184.02356,bc,V,12.434,0.02,40.779,0.75
2457835.11019,ba,V,12.426,0.02,45.128,0.83
2456896.85603,ba,V,12.423,0.02,45.244,0.832
2458307.89793,bc,V,12.474,0.02,39.298,0.723
2458225.04052,ba,V,12.428,0.02,45.043,0.829
2457889.02581,bc,V,12.496,0.02,38.499,0.708
2457851.07716,ba,V,12.429,0.02,44.981,0.828
2457521.05475,bc,V,12.478,0.02,39.138,0.72
2457110.07529,bc,V,12.427,0.02,41.038,0.755
2457905.89542,ba,V,12.427,0.02,45.054,0.829
2457506.03018,ba,V,12.486,0.02,42.692,0.786
2457468.09097,bc,V,12.488,0.02,38.784,0.714
2457438.16022,bc,V,12.404,0.02,41.919,0.771
2457171.93339,bc,V,12.468,0.02,39.504,0.727
2457132.08504,bc,V,12.447,0.02,40.28,0.741
2456917.8238,bc,V,12.428,0.02,41.005,0.754
2456866.91077,bc,V,12.502,0.02,38.293,0.705
2456820.96927,bc,V,12.456,0.02,39.952,0.735
2457617.89066,bc,V,12.429,0.02,40.939,0.753
2457288.71407,bc,V,12.479,0.02,39.101,0.719
2457221.89105,bc,V,12.398,0.02,42.151,0.776
2457196.91264,ba,V,12.422,0.02,45.278,0.833
2457101.1292,ba,V,12.442,0.02,44.465,0.818
2456875.89315,bc,V,12.445,0.02,40.362,0.743
2456817.97891,bc,V,12.436,0.02,40.703,0.749
2458315.84388,ba,V,12.428,0.02,45.018,0.828
2458291.83156,bc,V,12.413,0.02,41.572,0.765
2457878.05532,ba,V,12.412,0.02,45.679,0.84
2457478.11611,bc,V,12.454,0.02,40.011,0.736
2457133.01764,bc,V,12.448,0.02,40.241,0.74
2456919.81915,ba,V,12.422,0.02,45.291,0.833
2456874.90185,bc,V,12.427,0.02,41.029,0.755
2456846.92862,bc,V,12.485,0.02,38.888,0.716
2456751.03659,bc,V,12.481,0.02,39.042,0.718
2457693.72264,ba,V,12.446,0.02,44.296,0.815
2456979.69229,bc,V,12.428,0.02,40.989,0.754
2458326.90696,ba,V,12.421,0.02,45.316,0.834
2457244.95802,bc,V,12.446,0.02,40.325,0.742
2456896.85054,bc,V,12.44,0.02,40.537,0.746
2456865.91,bc,V,12.505,0.02,38.185,0.703
2458348.88804,bc,V,12.421,0.02,41.259,0.759
2458280.90734,bc,V,12.454,0.02,40.04,0.737
2458036.77224,bc,V,12.492,0.02,38.649,0.711
2457991.76469,bc,V,12.431,0.02,40.877,0.752
2457913.88693,bc,V,12.469,0.02,39.476,0.726
2457630.7872,ba,V,12.496,0.02,42.28,0.778
2457608.95795,ba,V,12.508,0.02,41.838,0.77
2457303.78786,bc,V,12.479,0.02,39.101,0.719
2457274.86649,ba,V,12.438,0.02,44.633,0.821
2456900.83932,bc,V,12.447,0.02,40.273,0.741
2456857.03149,bc,V,12.4,0.02,42.076,0.774
2457996.79719,ba,V,12.461,0.02,43.669,0.804
2457607.90033,bc,V,12.51,0.02,38.017,0.7
2457440.16484,ba,V,12.423,0.02,45.244,0.832
2457237.98519,ba,V,12.427,0.02,45.073,0.829
2457490.04359,ba,V,12.455,0.02,43.907,0.808
2456892.85938,bc,V,12.412,0.02,41.614,0.766
2458036.78775,ba,V,12.482,0.02,42.859,0.789
2457081.13978,bc,V,12.426,0.02,41.087,0.756
2457989.92252,bc,V,12.406,0.02,41.817,0.769
2457671.7487,ba,V,12.478,0.02,43.015,0.791
2457801.16822,bc,V,12.426,0.02,41.063,0.756
2457547.97351,ba,V,12.48,0.02,42.909,0.79
2457501.03565,ba,V,12.432,0.02,44.866,0.826
2457204.87732,bc,V,12.477,0.02,39.201,0.721
2457193.989,ba,V,12.425,0.02,45.135,0.83
2456876.89746,bc,V,12.427,0.02,41.019,0.755
2456735.07135,bc,V,12.442,0.02,40.454,0.744
2458312.01547,ba,V,12.432,0.02,44.861,0.825
2457603.91773,ba,V,12.448,0.02,44.227,0.814
2457542.00248,bc,V,12.436,0.02,40.687,0.749
2457443.14645,bc,V,12.446,0.02,40.328,0.742
2457237.97682,bc,V,12.41,0.02,41.682,0.767
2457211.05212,ba,V,12.426,0.02,45.12,0.83
2458397.77161,bc,V,12.415,0.02,41.49,0.763
2458277.88392,bc,V,12.522,0.02,37.608,0.692
2458273.06529,ba,V,12.427,0.02,45.059,0.829
2457690.72365,bc,V,12.464,0.02,39.665,0.73
2457597.78957,ba,V,12.455,0.02,43.924,0.808
2457581.993,bc,V,12.442,0.02,40.469,0.745
2457265.90678,ba,V,12.468,0.02,43.388,0.798
2456889.86218,bc,V,12.411,0.02,41.656,0.766
2456820.97171,ba,V,12.45,0.02,44.132,0.812
2457825.13113,ba,V,12.425,0.02,45.149,0.831
2457137.99996,bc,V,12.427,0.02,41.028,0.755
2457979.80344,bc,V,12.421,0.02,41.272,0.759
2457970.8874,bc,V,12.447,0.02,40.27,0.741
2457871.04534,bc,V,12.503,0.02,38.271,0.704
2457637.88251,bc,V,12.464,0.02,39.645,0.729
2457532.93836,bc,V,12.442,0.02,40.465,0.745
2457268.74452,ba,V,12.481,0.02,42.897,0.789
2456887.87276,bc,V,12.41,0.02,41.687,0.767
2456828.96813,bc,V,12.491,0.02,38.699,0.712
2458318.93002,ba,V,12.428,0.02,45.025,0.828
2458037.77941,bc,V,12.483,0.02,38.96,0.717
2458018.83838,bc,V,12.457,0.02,39.931,0.735
2457577.0198,bc,V,12.431,0.02,40.886,0.752
2457303.79549,ba,V,12.506,0.02,41.919,0.771
2457104.09626,bc,V,12.423,0.02,41.196,0.758
2457848.04924,bc,V,12.412,0.02,41.608,0.766
2456906.83989,bc,V,12.422,0.02,41.232,0.759
2456836.04349,bc,V,12.425,0.02,41.095,0.756
2456816.97468,ba,V,12.418,0.02,45.455,0.836
2458037.78728,ba,V,12.511,0.02,41.726,0.768
2457939.94393,ba,V,12.421,0.02,45.334,0.834
2457939.92593,bc,V,12.427,0.02,41.02,0.755
2457603.97152,bc,V,12.446,0.02,40.333,0.742
2457325.72716,ba,V,12.504,0.02,41.99,0.773
2456865.91268,ba,V,12.474,0.02,43.179,0.794
2456818.96443,ba,V,12.425,0.02,45.156,0.831
2458423.70356,bc,V,12.46,0.02,39.785,0.732
2457590.01755,ba,V,12.477,0.02,43.028,0.792
2457493.04461,bc,V,12.46,0.02,39.787,0.732
2457464.14477,bc,V,12.425,0.02,41.105,0.756
2457184.94873,bc,V,12.44,0.02,40.535,0.746
2457982.93424,ba,V,12.404,0.02,46.033,0.847
2457942.9739,ba,V,12.44,0.02,44.527,0.819
2457626.80541,ba,V,12.468,0.02,43.388,0.798
2457512.03973,bc,V,12.476,0.02,39.203,0.721
2457445.15701,ba,V,12.476,0.02,43.103,0.793
2457298.80464,ba,V,12.463,0.02,43.602,0.802
2456894.85124,bc,V,12.419,0.02,41.331,0.76
2456816.97226,bc,V,12.424,0.02,41.139,0.757
2458026.79461,bc,V,12.416,0.02,41.449,0.763
2456826.96922,bc,V,12.493,0.02,38.626,0.711
2457662.80706,bc,V,12.473,0.02,39.33,0.724
2457441.16105,bc,V,12.428,0.02,41.001,0.754
2457231.93247,bc,V,12.454,0.02,40.035,0.737
2457080.14972,ba,V,12.437,0.02,44.651,0.822
2456970.71369,ba,V,12.447,0.02,44.234,0.814
2456868.89918,ba,V,12.489,0.02,42.583,0.784
2458021.82854,bc,V,12.464,0.02,39.654,0.73
2457898.97278,bc,V,12.401,0.02,42.04,0.774
2457550.86432,bc,V,12.513,0.02,37.89,0.697
2457958.99852,bc,V,12.447,0.02,40.282,0.741
2457905.88811,bc,V,12.448,0.02,40.247,0.741
2457817.13371,ba,V,12.454,0.02,43.978,0.809
2457529.97504,bc,V,12.467,0.02,39.558,0.728
2457167.91804,bc,V,12.472,0.02,39.364,0.724
2456914.82115,ba,V,12.438,0.02,44.62,0.821
2458281.92871,bc,V,12.432,0.02,40.825,0.751
2457904.90314,bc,V,12.441,0.02,40.495,0.745
2457894.0499,ba,V,12.453,0.02,43.995,0.81
2457702.68887,bc,V,12.42,0.02,41.284,0.76
2457595.85842,bc,V,12.462,0.02,39.72,0.731
2457308.77364,bc,V,12.52,0.02,37.649,0.693
2457126.10524,bc,V,12.433,0.02,40.819,0.751
2456920.80533,bc,V,12.408,0.02,41.758,0.768
2456890.85657,bc,V,12.401,0.02,42.021,0.773
2456832.95243,ba,V,12.457,0.02,43.854,0.807
2457877.97214,bc,V,12.411,0.02,41.658,0.767
2457680.70499,bc,V,12.477,0.02,39.185,0.721
2457568.95705,ba,V,12.467,0.02,43.428,0.799
2457482.08304,ba,V,12.397,0.02,46.321,0.852
2457467.10385,bc,V,12.484,0.02,38.919,0.716
2457318.71866,bc,V,12.51,0.02,38.018,0.7
2457451.13725,bc,V,12.455,0.02,39.991,0.736
2457272.87924,ba,V,12.441,0.02,44.506,0.819
2457228.95151,bc,V,12.454,0.02,40.033,0.737
2456922.82502,ba,V,12.4,0.02,46.187,0.85
2458013.85682,ba,V,12.435,0.02,44.742,0.823
2457333.70126,bc,V,12.519,0.02,37.706,0.694
2457320.74467,ba,V,12.543,0.02,40.49,0.745
2456867.91008,bc,V,12.499,0.02,38.382,0.706
2456866.91675,ba,V,12.487,0.02,42.648,0.785
2456737.06047,bc,V,12.419,0.02,41.351,0.761
2458343.96314,ba,V,12.449,0.02,44.161,0.813
2457977.87986,ba,V,12.417,0.02,45.496,0.837
2457925.98446,ba,V,12.429,0.02,45.0,0.828
2457852.04311,bc,V,12.431,0.02,40.891,0.752
2457619.87528,bc,V,12.426,0.02,41.083,0.756
2457577.05396,ba,V,12.425,0.02,45.157,0.831
2457101.14433,bc,V,12.421,0.02,41.259,0.759
2456916.8144,bc,V,12.429,0.02,40.944,0.753
2456827.96305,ba,V,12.488,0.02,42.605,0.784
2458379.80821,bc,V,12.46,0.02,39.819,0.733
2458177.13613,bc,V,12.429,0.02,40.945,0.753
2457852.05097,ba,V,12.422,0.02,45.291,0.833
2457637.88616,ba,V,12.47,0.02,43.307,0.797
2457305.77945,bc,V,12.502,0.02,38.302,0.705
2457207.00044,ba,V,12.46,0.02,43.705,0.804
2457083.13458,bc,V,12.476,0.02,39.205,0.721
2456888.8658,bc,V,12.398,0.02,42.156,0.776
2456855.02752,ba,V,12.382,0.02,46.96,0.864
2458415.69908,bc,V,12.458,0.02,39.88,0.734
2457639.87771,bc,V,12.493,0.02,38.594,0.71
2457578.05372,ba,V,12.434,0.02,44.796,0.824
2456915.82269,bc,V,12.427,0.02,41.032,0.755
2456885.84942,bc,V,12.421,0.02,41.25,0.759
2457668.79961,ba,V,12.465,0.02,43.524,0.801
2457563.0004,bc,V,12.454,0.02,40.037,0.737
2457490.04749,bc,V,12.456,0.02,39.932,0.735
2457488.05855,bc,V,12.437,0.02,40.646,0.748
2457208.84753,bc,V,12.454,0.02,40.017,0.736
2457201.81898,bc,V,12.458,0.02,39.87,0.734
2457115.07972,bc,V,12.447,0.02,40.274,0.741
2457104.10562,ba,V,12.428,0.02,45.016,0.828
2456897.85203,bc,V,12.434,0.02,40.764,0.75
2456819.96592,bc,V,12.447,0.02,40.267,0.741
2457177.92496,bc,V,12.416,0.02,41.461,0.763
2457098.11031,ba,V,12.465,0.02,43.536,0.801
2458408.73376,bc,V,12.422,0.02,41.233,0.759
2457893.06913,bc,V,12.474,0.02,39.276,0.723
2457883.96644,ba,V,12.439,0.02,44.563,0.82
2457696.71382,ba,V,12.406,0.02,45.951,0.846
2457538.06519,bc,V,12.447,0.02,40.301,0.742
2458322.94955,bc,V,12.44,0.02,40.535,0.746
2458283.9987,bc,V,12.429,0.02,40.941,0.753
2457261.89065,bc,V,12.459,0.02,39.822,0.733
2457132.07483,ba,V,12.446,0.02,44.28,0.815
2456891.85457,ba,V,12.41,0.02,45.804,0.843
2456751.05272,ba,V,12.479,0.02,42.963,0.791
2458021.81693,ba,V,12.448,0.02,44.217,0.814
2457936.86096,bc,V,12.448,0.02,40.263,0.741
2456902.83715,bc,V,12.436,0.02,40.706,0.749
2456889.85055,ba,V,12.396,0.02,46.387,0.854
2457652.83737,ba,V,12.447,0.02,44.252,0.814
2457550.87542,ba,V,12.528,0.02,41.076,0.756
2457233.9036,ba,V,12.431,0.02,44.919,0.827
2458392.81332,ba,V,12.434,0.02,44.8,0.824
2457830.11293,ba,V,12.44,0.02,44.535,0.819
2457328.71437,bc,V,12.484,0.02,38.942,0.717
2457321.73644,bc,V,12.535,0.02,37.131,0.683
2456932.72379,bc,V,12.453,0.02,40.069,0.737
2457251.94508,ba,V,12.453,0.02,43.998,0.81
2457195.03015,bc,V,12.415,0.02,41.481,0.763
2456909.82593,bc,V,12.442,0.02,40.459,0.744
2456847.9317,bc,V,12.462,0.02,39.732,0.731
2456797.00731,bc,V,12.429,0.02,40.951,0.754
2457439.15666,bc,V,12.406,0.02,41.83,0.77
2456731.08651,ba,V,12.477,0.02,43.06,0.792
2458177.14792,ba,V,12.415,0.02,45.565,0.838
2457973.74323,bc,V,12.444,0.02,40.389,0.743
2457859.06467,bc,V,12.434,0.02,40.778,0.75
2457601.98344,ba,V,12.443,0.02,44.428,0.817
2457538.99342,ba,V,12.423,0.02,45.248,0.833
2456942.77119,bc,V,12.433,0.02,40.813,0.751
2456832.94701,bc,V,12.46,0.02,39.81,0.732
2457270.88779,bc,V,12.465,0.02,39.619,0.729
2457192.02003,bc,V,12.432,0.02,40.848,0.752
2456897.83747,ba,V,12.44,0.02,44.54,0.82
2457949.86291,ba,V,12.447,0.02,44.259,0.814
2457675.76923,bc,V,12.469,0.02,39.489,0.727
2457288.79129,ba,V,12.492,0.02,42.469,0.781
2456884.87525,bc,V,12.417,0.02,41.41,0.762
2456881.93234,bc,V,12.403,0.02,41.936,0.772
2457959.00197,ba,V,12.441,0.02,44.496,0.819
2457827.12003,ba,V,12.434,0.02,44.765,0.824
2457204.89585,ba,V,12.456,0.02,43.89,0.808
2457122.12975,ba,V,12.461,0.02,43.681,0.804
2456811.98148,ba,V,12.459,0.02,43.783,0.806
2457437.16395,bc,V,12.413,0.02,41.57,0.765
2457246.94935,bc,V,12.471,0.02,39.412,0.725
2457199.85663,ba,V,12.449,0.02,44.17,0.813
2457180.0057,bc,V,12.426,0.02,41.062,0.756
2457106.10326,ba,V,12.423,0.02,45.229,0.832
2458309.87625,bc,V,12.446,0.02,40.304,0.742
2457857.05405,ba,V,12.432,0.02,44.85,0.825
2457274.87808,bc,V,12.444,0.02,40.41,0.744
2456969.71734,bc,V,12.428,0.02,41.006,0.755
2456914.81829,bc,V,12.437,0.02,40.642,0.748
2458004.89039,ba,V,12.528,0.02,41.081,0.756
2458004.87228,bc,V,12.508,0.02,38.072,0.701
2457661.75475,ba,V,12.451,0.02,44.079,0.811
2457583.03825,ba,V,12.452,0.02,44.048,0.81
2457527.92865,bc,V,12.482,0.02,38.993,0.717
2457181.99898,bc,V,12.425,0.02,41.117,0.757
2458033.79337,bc,V,12.477,0.02,39.186,0.721
2457239.93753,bc,V,12.415,0.02,41.495,0.764
2457962.00502,ba,V,12.476,0.02,43.091,0.793
2457942.94414,bc,V,12.43,0.02,40.935,0.753
2457296.8059,bc,V,12.458,0.02,39.863,0.733
2457230.90531,ba,V,12.472,0.02,43.239,0.796
2457098.10385,bc,V,12.462,0.02,39.724,0.731
2456867.91698,ba,V,12.49,0.02,42.527,0.782
2457693.71469,bc,V,12.432,0.02,40.852,0.752
2457227.95076,ba,V,12.454,0.02,43.959,0.809
2456887.87879,ba,V,12.411,0.02,45.727,0.841
2458326.89178,bc,V,12.445,0.02,40.366,0.743
2457171.98033,ba,V,12.468,0.02,43.416,0.799
2457167.92726,ba,V,12.467,0.02,43.44,0.799
2456913.82888,ba,V,12.438,0.02,44.611,0.821
2456910.83629,bc,V,12.439,0.02,40.572,0.747
2458318.90322,bc,V,12.468,0.02,39.505,0.727
2458306.06416,ba,V,12.436,0.02,44.717,0.823
2457162.99628,ba,V,12.425,0.02,45.167,0.831
2456815.96692,bc,V,12.427,0.02,41.02,0.755
2456788.00643,ba,V,12.512,0.02,41.667,0.767
2458009.86749,bc,V,12.473,0.02,39.32,0.723
2457921.09092,bc,V,12.396,0.02,42.216,0.777
2457173.90129,bc,V,12.442,0.02,40.474,0.745
2456924.79744,bc,V,12.39,0.02,42.435,0.781
2456920.81123,ba,V,12.406,0.02,45.951,0.846
2456862.91505,bc,V,12.467,0.02,39.559,0.728
2457831.11704,bc,V,12.434,0.02,40.783,0.75
2457496.01543,bc,V,12.447,0.02,40.279,0.741
2457180.0696,ba,V,12.414,0.02,45.629,0.84
2456922.82208,bc,V,12.415,0.02,41.503,0.764
2456919.81603,bc,V,12.424,0.02,41.132,0.757
2457509.0841,bc,V,12.488,0.02,38.773,0.713
2457459.11522,bc,V,12.375,0.02,43.055,0.792
2457304.74195,ba,V,12.491,0.02,42.504,0.782
2457207.02952,bc,V,12.466,0.02,39.575,0.728
2456829.95603,bc,V,12.486,0.02,38.849,0.715
2457967.82665,ba,V,12.455,0.02,43.924,0.808
2457960.91459,bc,V,12.458,0.02,39.868,0.734
2457829.10603,bc,V,12.424,0.02,41.162,0.757
2457688.74707,bc,V,12.45,0.02,40.185,0.739
2457613.95563,ba,V,12.499,0.02,42.177,0.776
2457585.90367,ba,V,12.46,0.02,43.731,0.805
2457979.88261,ba,V,12.4,0.02,46.222,0.85
2457113.07879,bc,V,12.456,0.02,39.943,0.735
2457880.97324,ba,V,12.389,0.02,46.687,0.859
2457652.82973,bc,V,12.437,0.02,40.66,0.748
2457613.95211,bc,V,12.507,0.02,38.117,0.701
2457547.01906,bc,V,12.466,0.02,39.566,0.728
2456906.8455,ba,V,12.423,0.02,45.226,0.832
2457996.79353,bc,V,12.471,0.02,39.412,0.725
2457639.88145,ba,V,12.504,0.02,42.005,0.773
2457548.02325,bc,V,12.489,0.02,38.75,0.713
2457243.86562,ba,V,12.45,0.02,44.135,0.812
2457823.11904,bc,V,12.404,0.02,41.896,0.771
2457542.98714,ba,V,12.428,0.02,45.012,0.828
2457503.05181,bc,V,12.451,0.02,40.142,0.739
2457500.03938,bc,V,12.453,0.02,40.065,0.737
2457296.80219,ba,V,12.459,0.02,43.75,0.805
2457109.08032,bc,V,12.436,0.02,40.695,0.749
2458428.69923,bc,V,12.438,0.02,40.604,0.747
2457890.08606,ba,V,12.478,0.02,43.019,0.792
2457325.72316,bc,V,12.53,0.02,37.318,0.687
2457097.10758,bc,V,12.482,0.02,39.012,0.718
2456967.72156,bc,V,12.436,0.02,40.705,0.749
2456855.91767,bc,V,12.398,0.02,42.148,0.776
2456817.98408,ba,V,12.407,0.02,45.89,0.844
2458430.7015,ba,V,12.424,0.02,45.213,0.832
2458385.81858,bc,V,12.42,0.02,41.31,0.76
2458015.8447,bc,V,12.433,0.02,40.813,0.751
2457876.99369,ba,V,12.421,0.02,45.303,0.834
2457575.84729,bc,V,12.429,0.02,40.947,0.753
2456898.84971,ba,V,12.425,0.02,45.163,0.831
2457971.79432,ba,V,12.437,0.02,44.671,0.822
2457625.81568,ba,V,12.45,0.02,44.128,0.812
2457600.83854,bc,V,12.455,0.02,39.982,0.736
2457322.73973,ba,V,12.523,0.02,41.253,0.759
2457126.08257,ba,V,12.444,0.02,44.359,0.816
2456902.84281,ba,V,12.442,0.02,44.436,0.818
2456892.86517,ba,V,12.395,0.02,46.424,0.854
2458285.95768,bc,V,12.416,0.02,41.452,0.763
2457454.14163,bc,V,12.433,0.02,40.8,0.751
2457309.74263,ba,V,12.516,0.02,41.526,0.764
2457277.867,bc,V,12.446,0.02,40.308,0.742
